,Title,Location,Company,Salary,Describtion,Requirements,Rating
68,Summer 2020 - Machine Learning Engineer - Intern,"New York, NY",Samsung Research America Internship,NaN,Team members will have the intellectual freedom to cultivate their research roots by partnering with universities and publishing in leading scientific…,NaN,NaN
69,"Software Engineer, Intern (Winter or Summer)/Co-op","San Francisco, CA",Rimeto,NaN,You will work in collaboration with senior engineers to take end-to-end ownership of feature development.This internship/co-op has a minimum twelve (12) week…,NaN,NaN
70,Software Engineer Intern,"San Francisco, CA",Showwcase,NaN,"Design, develop and test software frameworks.Ensure we meet our commitments to ship high-quality software, clearly communicating across the product team and…",NaN,NaN
71,"Software Engineer, Intern","Reston, VA 20190 (Sunset Hills area)",Oracle,NaN,"Received undergraduate degree in computer science, computer engineering, electrical engineering, or related area of study.",NaN,3.8
72,Software Development Intern (Full-Stack),"Boston, MA",Zippity,NaN,"Instead, we bring our custom, 4-season mobile service garages to our customers’ workplaces or homes and help them with everything from basic oil changes to…",NaN,NaN
73,Software Engineering/Web Intern,"Beltsville, MD 20705",ASRC Federal Holding Company,NaN,"Individual will provide support to the web development team in a variety of tasks.Tasks include analyzing and classifying data, researching technologies,…",NaN,3.6
74,Software Engineer Intern,"Berkeley, CA",Anyscale,NaN,"Develop high quality software to empower software developers and simplify programming.By exposing the right metrics and visualizations, providing high levels…",NaN,NaN
75,Software Engineer Intern (Python) Summer 2020,"Columbia, MD 21046",Vectorworks Inc.,NaN,"Interest in pursuing a career in software systems engineering.The intern will help us build reliable, scalable applications for intern business systems and…",NaN,3.8
76,Software Engineer Intern,"Abingdon, MD",DCS Corp,NaN,"Desire to learn and support software development tools including Atlassian Suite, Docker, javascript, and others.",NaN,4.5
77,Software Management Information Systems Internship (Summer 2...,"New York, NY",Retensa,NaN,The ideal software engineering intern applicant should be proficient in English and possess good written and verbal communication skills.,NaN,3.8
78,Junior Programmer Analyst Intern,NaN,Utility Metering Solutions,$17 - $19 an hour,"Support current in-house software suite.Utility Metering Solutions (UMS) is looking for a full-time Junior Programmer Analyst Intern* in their *Raleigh, NC…",NaN,3.2
79,"Fullstack Software Developer Intern (JavaScript, Swift)",NaN,GoGoody Inc,$15 - $25 an hour,B.S. or M.S. in computer science or related fields;Very strong in JavaScript or Swift (at least 4 years' in-school or industry programming experience required)…,JavaScript: 2 years,NaN
80,2020 Software Engineer Intern,NaN,Bloomberg,NaN,"Engineering interns take ownership of their projects under the mentorship of full-time software engineers.In addition to your projects, you'll participate in…",NaN,3.9
81,2020 Summer Intern: Jr. Software Developer,NaN,SPECTRUM,NaN,"Engineering – Computer Science, Software Development, Coding, Programming.It’s a full-time, 10-week commitment from May 27, 2020 through July 31, 2020.",NaN,3.4
82,Software Engineer - Internship,NaN,United Health - College,NaN,You’ll need to work in a disciplined approach to software and processes that helps us protect the health care data of millions of patients.,NaN,3.7
83,Data Management Intern,NaN,Prometheus Research,$16 an hour,Prometheus Research is hiring interns who will support research data management and software development projects.Creating data sets for client analysis.,NaN,4.7
84,Backend Engineer Intern,NaN,Shealth Startup,NaN,"Design & develop best of the breed backend services to power our mobile applications.Work closely with the product manager, mobile developers, and designer.",NaN,NaN
85,Engineer Intern,NaN,Fresenius Kabi,NaN,"Defining requirements, design, construction, test and maintenance for data acquisition, data management and analysis systems for medical devices.",NaN,3.7
86,Summer 2020 - Machine Learning Engineer - Intern,"New York, NY",Samsung Research America Internship,NaN,Team members will have the intellectual freedom to cultivate their research roots by partnering with universities and publishing in leading scientific…,NaN,NaN
